Delivery Date,Delivery Hour,Delivery Interval,Repeated Hour Flag,Settlement Point Name,Settlement Point Type,Settlement Point Price
08/01/2024,1,1,N,HB_HOUSTON,HU,16.4
08/01/2024,1,2,N,HB_HOUSTON,HU,15.57
08/01/2024,1,3,N,HB_HOUSTON,HU,15.25
08/01/2024,1,4,N,HB_HOUSTON,HU,14.22
08/01/2024,1,1,N,HB_NORTH,HU,15.06
08/01/2024,1,2,N,HB_NORTH,HU,15.73
08/01/2024,1,3,N,HB_NORTH,HU,15.51
08/01/2024,1,4,N,HB_NORTH,HU,14.34
08/01/2024,1,1,N,HB_SOUTH,HU,16.74
08/01/2024,1,2,N,HB_SOUTH,HU,14.7
08/01/2024,1,3,N,HB_SOUTH,HU,14.51
08/01/2024,1,4,N,HB_SOUTH,HU,13.83
08/01/2024,1,1,N,HB_WEST,HU,25.71
08/01/2024,1,2,N,HB_WEST,HU,17.3
08/01/2024,1,3,N,HB_WEST,HU,15.67
08/01/2024,1,4,N,HB_WEST,HU,14.59
08/01/2024,2,1,N,HB_HOUSTON,HU,13.87
08/01/2024,2,2,N,HB_HOUSTON,HU,13.44
08/01/2024,2,3,N,HB_HOUSTON,HU,12.97
08/01/2024,2,4,N,HB_HOUSTON,HU,12.16
08/01/2024,2,1,N,HB_NORTH,HU,13.89
08/01/2024,2,2,N,HB_NORTH,HU,13.3
08/01/2024,2,3,N,HB_NORTH,HU,12.93
08/01/2024,2,4,N,HB_NORTH,HU,11.88
08/01/2024,2,1,N,HB_SOUTH,HU,13.52
08/01/2024,2,2,N,HB_SOUTH,HU,13.25
08/01/2024,2,3,N,HB_SOUTH,HU,12.68
08/01/2024,2,4,N,HB_SOUTH,HU,12.27
08/01/2024,2,1,N,HB_WEST,HU,14.87
08/01/2024,2,2,N,HB_WEST,HU,15.22
08/01/2024,2,3,N,HB_WEST,HU,14.2
08/01/2024,2,4,N,HB_WEST,HU,14.01
08/01/2024,3,1,N,HB_HOUSTON,HU,12.37
08/01/2024,3,2,N,HB_HOUSTON,HU,11.9
08/01/2024,3,3,N,HB_HOUSTON,HU,11.66
08/01/2024,3,4,N,HB_HOUSTON,HU,11.42
08/01/2024,3,1,N,HB_NORTH,HU,12.18
08/01/2024,3,2,N,HB_NORTH,HU,11.71
08/01/2024,3,3,N,HB_NORTH,HU,11.66
08/01/2024,3,4,N,HB_NORTH,HU,11.42
08/01/2024,3,1,N,HB_SOUTH,HU,12.42
08/01/2024,3,2,N,HB_SOUTH,HU,12.03
08/01/2024,3,3,N,HB_SOUTH,HU,11.66
08/01/2024,3,4,N,HB_SOUTH,HU,11.42
08/01/2024,3,1,N,HB_WEST,HU,13.76
08/01/2024,3,2,N,HB_WEST,HU,12.92
08/01/2024,3,3,N,HB_WEST,HU,11.66
08/01/2024,3,4,N,HB_WEST,HU,11.42
08/01/2024,4,1,N,HB_HOUSTON,HU,11.3
08/01/2024,4,2,N,HB_HOUSTON,HU,11.53
08/01/2024,4,3,N,HB_HOUSTON,HU,11.67
08/01/2024,4,4,N,HB_HOUSTON,HU,11.69
08/01/2024,4,1,N,HB_NORTH,HU,11.3
08/01/2024,4,2,N,HB_NORTH,HU,11.49
08/01/2024,4,3,N,HB_NORTH,HU,11.67
08/01/2024,4,4,N,HB_NORTH,HU,11.29
08/01/2024,4,1,N,HB_SOUTH,HU,11.3
08/01/2024,4,2,N,HB_SOUTH,HU,11.57
08/01/2024,4,3,N,HB_SOUTH,HU,11.67
08/01/2024,4,4,N,HB_SOUTH,HU,12.08
08/01/2024,4,1,N,HB_WEST,HU,11.3
08/01/2024,4,2,N,HB_WEST,HU,11.75
08/01/2024,4,3,N,HB_WEST,HU,11.67
08/01/2024,4,4,N,HB_WEST,HU,13.83
08/01/2024,5,1,N,HB_HOUSTON,HU,11.98
08/01/2024,5,2,N,HB_HOUSTON,HU,12.41
08/01/2024,5,3,N,HB_HOUSTON,HU,12.55
08/01/2024,5,4,N,HB_HOUSTON,HU,12.98
08/01/2024,5,1,N,HB_NORTH,HU,11.65
