Delivery Date,Delivery Hour,Delivery Interval,Repeated Hour Flag,Settlement Point Name,Settlement Point Type,Settlement Point Price
12/01/2024,1,1,N,HB_HOUSTON,HU,32.87
12/01/2024,1,2,N,HB_HOUSTON,HU,33.66
12/01/2024,1,3,N,HB_HOUSTON,HU,34.33
12/01/2024,1,4,N,HB_HOUSTON,HU,31.98
12/01/2024,1,1,N,HB_NORTH,HU,35.34
12/01/2024,1,2,N,HB_NORTH,HU,34.43
12/01/2024,1,3,N,HB_NORTH,HU,34.41
12/01/2024,1,4,N,HB_NORTH,HU,33.46
12/01/2024,1,1,N,HB_SOUTH,HU,30.43
12/01/2024,1,2,N,HB_SOUTH,HU,32.91
12/01/2024,1,3,N,HB_SOUTH,HU,34.26
12/01/2024,1,4,N,HB_SOUTH,HU,30.52
12/01/2024,1,1,N,HB_WEST,HU,38.46
12/01/2024,1,2,N,HB_WEST,HU,35.39
12/01/2024,1,3,N,HB_WEST,HU,34.51
12/01/2024,1,4,N,HB_WEST,HU,35.32
12/01/2024,2,1,N,HB_HOUSTON,HU,30.76
12/01/2024,2,2,N,HB_HOUSTON,HU,30.73
12/01/2024,2,3,N,HB_HOUSTON,HU,30.42
12/01/2024,2,4,N,HB_HOUSTON,HU,29.94
12/01/2024,2,1,N,HB_NORTH,HU,32.68
12/01/2024,2,2,N,HB_NORTH,HU,32.24
12/01/2024,2,3,N,HB_NORTH,HU,31.16
12/01/2024,2,4,N,HB_NORTH,HU,30.15
12/01/2024,2,1,N,HB_SOUTH,HU,28.85
12/01/2024,2,2,N,HB_SOUTH,HU,29.23
12/01/2024,2,3,N,HB_SOUTH,HU,29.68
12/01/2024,2,4,N,HB_SOUTH,HU,29.73
12/01/2024,2,1,N,HB_WEST,HU,35.1
12/01/2024,2,2,N,HB_WEST,HU,34.15
12/01/2024,2,3,N,HB_WEST,HU,32.1
12/01/2024,2,4,N,HB_WEST,HU,30.42
12/01/2024,3,1,N,HB_HOUSTON,HU,27.88
12/01/2024,3,2,N,HB_HOUSTON,HU,27.88
12/01/2024,3,3,N,HB_HOUSTON,HU,29.12
12/01/2024,3,4,N,HB_HOUSTON,HU,28.74
12/01/2024,3,1,N,HB_NORTH,HU,27.88
12/01/2024,3,2,N,HB_NORTH,HU,27.88
12/01/2024,3,3,N,HB_NORTH,HU,29.12
12/01/2024,3,4,N,HB_NORTH,HU,28.74
12/01/2024,3,1,N,HB_SOUTH,HU,27.88
12/01/2024,3,2,N,HB_SOUTH,HU,27.88
12/01/2024,3,3,N,HB_SOUTH,HU,29.12
12/01/2024,3,4,N,HB_SOUTH,HU,28.74
12/01/2024,3,1,N,HB_WEST,HU,27.88
12/01/2024,3,2,N,HB_WEST,HU,27.88
12/01/2024,3,3,N,HB_WEST,HU,29.12
12/01/2024,3,4,N,HB_WEST,HU,28.74
12/01/2024,4,1,N,HB_HOUSTON,HU,28.87
12/01/2024,4,2,N,HB_HOUSTON,HU,26.88
12/01/2024,4,3,N,HB_HOUSTON,HU,28.43
12/01/2024,4,4,N,HB_HOUSTON,HU,28.36
12/01/2024,4,1,N,HB_NORTH,HU,28.87
12/01/2024,4,2,N,HB_NORTH,HU,26.88
12/01/2024,4,3,N,HB_NORTH,HU,28.43
12/01/2024,4,4,N,HB_NORTH,HU,28.36
12/01/2024,4,1,N,HB_SOUTH,HU,28.87
12/01/2024,4,2,N,HB_SOUTH,HU,26.88
12/01/2024,4,3,N,HB_SOUTH,HU,28.43
12/01/2024,4,4,N,HB_SOUTH,HU,28.36
12/01/2024,4,1,N,HB_WEST,HU,28.87
12/01/2024,4,2,N,HB_WEST,HU,26.88
12/01/2024,4,3,N,HB_WEST,HU,28.43
12/01/2024,4,4,N,HB_WEST,HU,28.36
12/01/2024,5,1,N,HB_HOUSTON,HU,28.32
12/01/2024,5,2,N,HB_HOUSTON,HU,26.65
12/01/2024,5,3,N,HB_HOUSTON,HU,26.74
12/01/2024,5,4,N,HB_HOUSTON,HU,28.36
12/01/2024,5,1,N,HB_NORTH,HU,28.32
12/01/2024,5,2,N,HB_NORTH,HU,26.65
12/01/2024,5,3,N,HB_NORTH,HU,26.74
