Delivery Date,Delivery Hour,Delivery Interval,Repeated Hour Flag,Settlement Point Name,Settlement Point Type,Settlement Point Price
02/01/2025,1,1,N,HB_HOUSTON,HU,35.54
02/01/2025,1,2,N,HB_HOUSTON,HU,42.05
02/01/2025,1,3,N,HB_HOUSTON,HU,35.52
02/01/2025,1,4,N,HB_HOUSTON,HU,30.62
02/01/2025,1,1,N,HB_NORTH,HU,29.92
02/01/2025,1,2,N,HB_NORTH,HU,36.53
02/01/2025,1,3,N,HB_NORTH,HU,30.72
02/01/2025,1,4,N,HB_NORTH,HU,25.89
02/01/2025,1,1,N,HB_SOUTH,HU,41.23
02/01/2025,1,2,N,HB_SOUTH,HU,47.56
02/01/2025,1,3,N,HB_SOUTH,HU,40.29
02/01/2025,1,4,N,HB_SOUTH,HU,35.29
02/01/2025,1,1,N,HB_WEST,HU,62.62
02/01/2025,1,2,N,HB_WEST,HU,65.72
02/01/2025,1,3,N,HB_WEST,HU,55.22
02/01/2025,1,4,N,HB_WEST,HU,49.78
02/01/2025,2,1,N,HB_HOUSTON,HU,28.76
02/01/2025,2,2,N,HB_HOUSTON,HU,27.59
02/01/2025,2,3,N,HB_HOUSTON,HU,27.21
02/01/2025,2,4,N,HB_HOUSTON,HU,29.22
02/01/2025,2,1,N,HB_NORTH,HU,25.04
02/01/2025,2,2,N,HB_NORTH,HU,23.28
02/01/2025,2,3,N,HB_NORTH,HU,22.76
02/01/2025,2,4,N,HB_NORTH,HU,23.92
02/01/2025,2,1,N,HB_SOUTH,HU,32.46
02/01/2025,2,2,N,HB_SOUTH,HU,31.81
02/01/2025,2,3,N,HB_SOUTH,HU,31.53
02/01/2025,2,4,N,HB_SOUTH,HU,34.41
02/01/2025,2,1,N,HB_WEST,HU,44.02
02/01/2025,2,2,N,HB_WEST,HU,44.66
02/01/2025,2,3,N,HB_WEST,HU,44.39
02/01/2025,2,4,N,HB_WEST,HU,50.17
02/01/2025,3,1,N,HB_HOUSTON,HU,26.13
02/01/2025,3,2,N,HB_HOUSTON,HU,26.03
02/01/2025,3,3,N,HB_HOUSTON,HU,24.58
02/01/2025,3,4,N,HB_HOUSTON,HU,23.49
02/01/2025,3,1,N,HB_NORTH,HU,21.29
02/01/2025,3,2,N,HB_NORTH,HU,21.23
02/01/2025,3,3,N,HB_NORTH,HU,20.11
02/01/2025,3,4,N,HB_NORTH,HU,19.09
02/01/2025,3,1,N,HB_SOUTH,HU,30.87
02/01/2025,3,2,N,HB_SOUTH,HU,30.75
02/01/2025,3,3,N,HB_SOUTH,HU,28.97
02/01/2025,3,4,N,HB_SOUTH,HU,27.82
02/01/2025,3,1,N,HB_WEST,HU,45.28
02/01/2025,3,2,N,HB_WEST,HU,45.06
02/01/2025,3,3,N,HB_WEST,HU,42.42
02/01/2025,3,4,N,HB_WEST,HU,41.06
02/01/2025,4,1,N,HB_HOUSTON,HU,25.29
02/01/2025,4,2,N,HB_HOUSTON,HU,24.54
02/01/2025,4,3,N,HB_HOUSTON,HU,23.14
02/01/2025,4,4,N,HB_HOUSTON,HU,22.6
02/01/2025,4,1,N,HB_NORTH,HU,21.59
02/01/2025,4,2,N,HB_NORTH,HU,20.21
02/01/2025,4,3,N,HB_NORTH,HU,19.01
02/01/2025,4,4,N,HB_NORTH,HU,19.6
02/01/2025,4,1,N,HB_SOUTH,HU,28.99
02/01/2025,4,2,N,HB_SOUTH,HU,28.82
02/01/2025,4,3,N,HB_SOUTH,HU,27.22
02/01/2025,4,4,N,HB_SOUTH,HU,25.6
02/01/2025,4,1,N,HB_WEST,HU,40.67
02/01/2025,4,2,N,HB_WEST,HU,42.01
02/01/2025,4,3,N,HB_WEST,HU,39.85
02/01/2025,4,4,N,HB_WEST,HU,35.16
02/01/2025,5,1,N,HB_HOUSTON,HU,22.96
02/01/2025,5,2,N,HB_HOUSTON,HU,22.46
02/01/2025,5,3,N,HB_HOUSTON,HU,23.26
02/01/2025,5,4,N,HB_HOUSTON,HU,23.16
02/01/2025,5,1,N,HB_NORTH,HU,19.76
02/01/2025,5,2,N,HB_NORTH,HU,19.07
02/01/2025,5,3,N,HB_NORTH,HU,20.0
02/01/2025,5,4,N,HB_NORTH,HU,19.73
02/01/2025,5,1,N,HB_SOUTH,HU,26.17
02/01/2025,5,2,N,HB_SOUTH,HU,25.86
02/01/2025,5,3,N,HB_SOUTH,HU,26.54
02/01/2025,5,4,N,HB_SOUTH,HU,26.6
02/01/2025,5,1,N,HB_WEST,HU,36.38
02/01/2025,5,2,N,HB_WEST,HU,36.67
02/01/2025,5,3,N,HB_WEST,HU,36.95
02/01/2025,5,4,N,HB_WEST,HU,37.54
02/01/2025,6,1,N,HB_HOUSTON,HU,23.3
02/01/2025,6,2,N,HB_HOUSTON,HU,24.51
02/01/2025,6,3,N,HB_HOUSTON,HU,24.51
02/01/2025,6,4,N,HB_HOUSTON,HU,25.52
02/01/2025,6,1,N,HB_NORTH,HU,21.0
02/01/2025,6,2,N,HB_NORTH,HU,21.62
02/01/2025,6,3,N,HB_NORTH,HU,21.62
02/01/2025,6,4,N,HB_NORTH,HU,22.57
02/01/2025,6,1,N,HB_SOUTH,HU,25.61
02/01/2025,6,2,N,HB_SOUTH,HU,27.41
02/01/2025,6,3,N,HB_SOUTH,HU,27.41
02/01/2025,6,4,N,HB_SOUTH,HU,28.47
02/01/2025,6,1,N,HB_WEST,HU,32.94
02/01/2025,6,2,N,HB_WEST,HU,36.65
02/01/2025,6,3,N,HB_WEST,HU,36.64
02/01/2025,6,4,N,HB_WEST,HU,37.87
02/01/2025,7,1,N,HB_HOUSTON,HU,24.12
02/01/2025,7,2,N,HB_HOUSTON,HU,24.32
02/01/2025,7,3,N,HB_HOUSTON,HU,24.42
02/01/2025,7,4,N,HB_HOUSTON,HU,25.29
02/01/2025,7,1,N,HB_NORTH,HU,21.87
02/01/2025,7,2,N,HB_NORTH,HU,22.59
02/01/2025,7,3,N,HB_NORTH,HU,23.36
02/01/2025,7,4,N,HB_NORTH,HU,24.3
02/01/2025,7,1,N,HB_SOUTH,HU,26.38
02/01/2025,7,2,N,HB_SOUTH,HU,26.07
02/01/2025,7,3,N,HB_SOUTH,HU,25.6
02/01/2025,7,4,N,HB_SOUTH,HU,26.64
02/01/2025,7,1,N,HB_WEST,HU,33.58
02/01/2025,7,2,N,HB_WEST,HU,31.61
02/01/2025,7,3,N,HB_WEST,HU,29.37
02/01/2025,7,4,N,HB_WEST,HU,30.91
02/01/2025,8,1,N,HB_HOUSTON,HU,26.82
02/01/2025,8,2,N,HB_HOUSTON,HU,26.5
02/01/2025,8,3,N,HB_HOUSTON,HU,23.91
02/01/2025,8,4,N,HB_HOUSTON,HU,20.71
02/01/2025,8,1,N,HB_NORTH,HU,25.58
02/01/2025,8,2,N,HB_NORTH,HU,25.18
02/01/2025,8,3,N,HB_NORTH,HU,22.65
02/01/2025,8,4,N,HB_NORTH,HU,19.7
02/01/2025,8,1,N,HB_SOUTH,HU,28.43
02/01/2025,8,2,N,HB_SOUTH,HU,27.93
02/01/2025,8,3,N,HB_SOUTH,HU,25.18
02/01/2025,8,4,N,HB_SOUTH,HU,21.72
02/01/2025,8,1,N,HB_WEST,HU,33.54
02/01/2025,8,2,N,HB_WEST,HU,32.51
02/01/2025,8,3,N,HB_WEST,HU,29.23
