Delivery Date,Delivery Hour,Delivery Interval,Repeated Hour Flag,Settlement Point Name,Settlement Point Type,Settlement Point Price
07/01/2025,1,1,N,HB_HOUSTON,HU,54.52
07/01/2025,1,2,N,HB_HOUSTON,HU,49.2
07/01/2025,1,3,N,HB_HOUSTON,HU,46.28
07/01/2025,1,4,N,HB_HOUSTON,HU,43.54
07/01/2025,1,1,N,HB_NORTH,HU,51.47
07/01/2025,1,2,N,HB_NORTH,HU,50.11
07/01/2025,1,3,N,HB_NORTH,HU,47.25
07/01/2025,1,4,N,HB_NORTH,HU,44.94
07/01/2025,1,1,N,HB_SOUTH,HU,46.39
07/01/2025,1,2,N,HB_SOUTH,HU,47.93
07/01/2025,1,3,N,HB_SOUTH,HU,44.79
07/01/2025,1,4,N,HB_SOUTH,HU,41.69
07/01/2025,1,1,N,HB_WEST,HU,52.89
07/01/2025,1,2,N,HB_WEST,HU,53.21
07/01/2025,1,3,N,HB_WEST,HU,50.78
07/01/2025,1,4,N,HB_WEST,HU,49.27
07/01/2025,2,1,N,HB_HOUSTON,HU,41.87
07/01/2025,2,2,N,HB_HOUSTON,HU,38.92
07/01/2025,2,3,N,HB_HOUSTON,HU,32.05
07/01/2025,2,4,N,HB_HOUSTON,HU,29.81
07/01/2025,2,1,N,HB_NORTH,HU,43.25
07/01/2025,2,2,N,HB_NORTH,HU,40.13
07/01/2025,2,3,N,HB_NORTH,HU,33.22
07/01/2025,2,4,N,HB_NORTH,HU,30.89
07/01/2025,2,1,N,HB_SOUTH,HU,40.29
07/01/2025,2,2,N,HB_SOUTH,HU,37.68
07/01/2025,2,3,N,HB_SOUTH,HU,31.01
07/01/2025,2,4,N,HB_SOUTH,HU,28.86
07/01/2025,2,1,N,HB_WEST,HU,47.8
07/01/2025,2,2,N,HB_WEST,HU,45.35
07/01/2025,2,3,N,HB_WEST,HU,38.88
07/01/2025,2,4,N,HB_WEST,HU,36.68
07/01/2025,3,1,N,HB_HOUSTON,HU,28.49
07/01/2025,3,2,N,HB_HOUSTON,HU,27.67
07/01/2025,3,3,N,HB_HOUSTON,HU,26.64
07/01/2025,3,4,N,HB_HOUSTON,HU,27.0
07/01/2025,3,1,N,HB_NORTH,HU,29.37
07/01/2025,3,2,N,HB_NORTH,HU,28.22
07/01/2025,3,3,N,HB_NORTH,HU,27.07
07/01/2025,3,4,N,HB_NORTH,HU,27.48
07/01/2025,3,1,N,HB_SOUTH,HU,27.77
07/01/2025,3,2,N,HB_SOUTH,HU,27.29
07/01/2025,3,3,N,HB_SOUTH,HU,26.38
07/01/2025,3,4,N,HB_SOUTH,HU,26.72
07/01/2025,3,1,N,HB_WEST,HU,35.24
07/01/2025,3,2,N,HB_WEST,HU,33.83
07/01/2025,3,3,N,HB_WEST,HU,32.14
07/01/2025,3,4,N,HB_WEST,HU,33.08
07/01/2025,4,1,N,HB_HOUSTON,HU,26.01
