Delivery Date,Delivery Hour,Delivery Interval,Repeated Hour Flag,Settlement Point Name,Settlement Point Type,Settlement Point Price
06/01/2025,1,1,N,HB_HOUSTON,HU,26.19
06/01/2025,1,2,N,HB_HOUSTON,HU,29.0
06/01/2025,1,3,N,HB_HOUSTON,HU,27.79
06/01/2025,1,4,N,HB_HOUSTON,HU,24.33
06/01/2025,1,1,N,HB_NORTH,HU,24.69
06/01/2025,1,2,N,HB_NORTH,HU,26.86
06/01/2025,1,3,N,HB_NORTH,HU,26.93
06/01/2025,1,4,N,HB_NORTH,HU,24.84
06/01/2025,1,1,N,HB_SOUTH,HU,27.54
06/01/2025,1,2,N,HB_SOUTH,HU,30.97
06/01/2025,1,3,N,HB_SOUTH,HU,28.59
06/01/2025,1,4,N,HB_SOUTH,HU,24.0
06/01/2025,1,1,N,HB_WEST,HU,30.93
06/01/2025,1,2,N,HB_WEST,HU,36.5
06/01/2025,1,3,N,HB_WEST,HU,31.22
06/01/2025,1,4,N,HB_WEST,HU,29.76
06/01/2025,2,1,N,HB_HOUSTON,HU,24.55
06/01/2025,2,2,N,HB_HOUSTON,HU,24.13
06/01/2025,2,3,N,HB_HOUSTON,HU,23.17
06/01/2025,2,4,N,HB_HOUSTON,HU,21.25
06/01/2025,2,1,N,HB_NORTH,HU,25.26
06/01/2025,2,2,N,HB_NORTH,HU,24.88
06/01/2025,2,3,N,HB_NORTH,HU,24.01
06/01/2025,2,4,N,HB_NORTH,HU,22.25
06/01/2025,2,1,N,HB_SOUTH,HU,24.09
06/01/2025,2,2,N,HB_SOUTH,HU,23.65
06/01/2025,2,3,N,HB_SOUTH,HU,22.62
06/01/2025,2,4,N,HB_SOUTH,HU,20.6
06/01/2025,2,1,N,HB_WEST,HU,32.02
06/01/2025,2,2,N,HB_WEST,HU,31.97
06/01/2025,2,3,N,HB_WEST,HU,32.06
06/01/2025,2,4,N,HB_WEST,HU,31.79
06/01/2025,3,1,N,HB_HOUSTON,HU,22.3
06/01/2025,3,2,N,HB_HOUSTON,HU,22.68
06/01/2025,3,3,N,HB_HOUSTON,HU,21.98
06/01/2025,3,4,N,HB_HOUSTON,HU,22.57
06/01/2025,3,1,N,HB_NORTH,HU,22.99
06/01/2025,3,2,N,HB_NORTH,HU,23.29
06/01/2025,3,3,N,HB_NORTH,HU,22.37
06/01/2025,3,4,N,HB_NORTH,HU,22.81
06/01/2025,3,1,N,HB_SOUTH,HU,21.85
06/01/2025,3,2,N,HB_SOUTH,HU,22.28
06/01/2025,3,3,N,HB_SOUTH,HU,21.74
06/01/2025,3,4,N,HB_SOUTH,HU,22.41
06/01/2025,3,1,N,HB_WEST,HU,29.51
06/01/2025,3,2,N,HB_WEST,HU,29.15
06/01/2025,3,3,N,HB_WEST,HU,26.0
06/01/2025,3,4,N,HB_WEST,HU,25.1
06/01/2025,4,1,N,HB_HOUSTON,HU,21.21
06/01/2025,4,2,N,HB_HOUSTON,HU,21.54
06/01/2025,4,3,N,HB_HOUSTON,HU,21.43
06/01/2025,4,4,N,HB_HOUSTON,HU,20.72
06/01/2025,4,1,N,HB_NORTH,HU,22.07
06/01/2025,4,2,N,HB_NORTH,HU,22.36
06/01/2025,4,3,N,HB_NORTH,HU,21.91
06/01/2025,4,4,N,HB_NORTH,HU,21.02
06/01/2025,4,1,N,HB_SOUTH,HU,20.65
06/01/2025,4,2,N,HB_SOUTH,HU,21.0
06/01/2025,4,3,N,HB_SOUTH,HU,21.13
06/01/2025,4,4,N,HB_SOUTH,HU,20.52
06/01/2025,4,1,N,HB_WEST,HU,30.22
06/01/2025,4,2,N,HB_WEST,HU,30.16
06/01/2025,4,3,N,HB_WEST,HU,26.42
06/01/2025,4,4,N,HB_WEST,HU,23.9
06/01/2025,5,1,N,HB_HOUSTON,HU,20.58
